iter	Passed	Remaining
0	12	12285
1	22	11311
2	33	11128
3	42	10513
4	52	10384
5	62	10388
6	70	9979
7	79	9840
8	87	9629
9	97	9631
10	105	9455
11	112	9245
12	120	9119
13	126	8921
14	133	8747
15	138	8529
16	146	8452
17	154	8408
18	160	8311
19	166	8181
20	175	8172
21	182	8118
22	197	8378
23	207	8443
24	214	8375
25	222	8347
26	231	8353
27	240	8338
28	249	8363
29	258	8353
30	264	8269
31	272	8232
32	279	8200
33	287	8176
34	296	8170
35	303	8115
36	312	8145
37	322	8170
38	332	8190
39	342	8210
40	351	8228
41	361	8250
42	370	8237
43	378	8215
44	386	8208
45	395	8202
46	402	8162
47	409	8128
48	418	8119
49	428	8140
50	435	8096
51	442	8074
52	452	8084
53	463	8126
54	472	8112
55	479	8077
56	490	8122
57	500	8136
58	508	8108
59	517	8103
60	525	8091
61	533	8075
62	540	8046
63	551	8071
64	559	8055
65	568	8041
66	577	8042
67	584	8010
68	592	7993
69	600	7975
70	608	7965
71	616	7946
72	624	7932
73	630	7884
74	638	7875
75	646	7863
76	654	7841
77	664	7851
78	672	7843
79	681	7832
80	688	7808
81	696	7799
82	703	7777
83	711	7763
84	721	7765
85	728	7737
86	736	7728
87	744	7711
88	751	7689
89	757	7661
90	764	7641
91	771	7618
92	779	7598
93	788	7598
94	794	7566
95	802	7553
96	810	7548
97	818	7529
98	824	7507
99	834	7506
100	843	7508
101	850	7487
102	858	7480
103	866	7462
104	877	7483
105	885	7466
106	890	7434
107	897	7412
108	905	7397
109	913	7394
110	921	7377
111	929	7371
112	937	7360
113	946	7359
114	955	7356
115	963	7345
116	971	7330
117	979	7318
118	986	7303
119	996	7308
120	1006	7308
121	1015	7305
122	1022	7288
123	1030	7280
124	1040	7282
125	1048	7273
126	1058	7279
127	1068	7279
128	1080	7293
129	1091	7307
130	1101	7307
131	1116	7344
132	1126	7345
133	1136	7345
134	1146	7345
135	1156	7345
136	1161	7314
137	1168	7295
138	1176	7288
139	1184	7274
140	1192	7262
141	1199	7247
142	1206	7231
143	1213	7215
144	1222	7206
145	1230	7197
146	1238	7185
147	1245	7172
148	1255	7168
149	1262	7151
150	1268	7133
151	1276	7119
152	1282	7099
153	1288	7077
154	1294	7058
155	1300	7037
156	1310	7037
157	1318	7027
158	1326	7016
159	1333	6999
160	1341	6988
161	1348	6973
162	1356	6965
163	1364	6954
164	1372	6946
165	1382	6943
166	1389	6931
167	1395	6912
168	1402	6898
169	1409	6881
170	1418	6876
171	1426	6865
172	1432	6848
173	1440	6837
174	1448	6830
175	1455	6814
176	1462	6798
177	1468	6780
178	1473	6758
179	1480	6745
180	1487	6731
181	1495	6722
182	1506	6725
183	1514	6716
184	1523	6713
185	1532	6705
186	1541	6703
187	1545	6673
188	1555	6673
189	1563	6667
190	1573	6664
191	1581	6657
192	1590	6650
193	1598	6641
194	1607	6638
195	1616	6632
196	1628	6637
197	1637	6631
198	1646	6629
199	1657	6629
200	1666	6622
201	1675	6617
202	1683	6609
203	1690	6595
204	1697	6584
205	1706	6576
206	1713	6565
207	1721	6556
208	1730	6548
209	1742	6553
210	1749	6541
211	1755	6525
212	1762	6512
213	1769	6498
214	1777	6489
215	1786	6483
216	1792	6468
217	1798	6453
218	1805	6439
219	1812	6424
220	1820	6416
221	1827	6404
222	1835	6395
223	1842	6384
224	1851	6378
225	1858	6365
226	1865	6352
227	1872	6340
228	1878	6326
229	1886	6315
230	1894	6307
231	1902	6298
232	1909	6286
233	1916	6274
234	1923	6261
235	1932	6255
236	1945	6264
237	1952	6251
238	1959	6237
239	1968	6233
240	1975	6222
241	1982	6209
242	1991	6204
243	2000	6198
244	2009	6192
245	2015	6178
246	2022	6166
247	2032	6162
248	2040	6153
249	2047	6141
250	2055	6133
251	2064	6127
252	2071	6115
253	2078	6104
254	2085	6093
255	2092	6081
256	2101	6075
257	2110	6069
258	2119	6063
259	2126	6052
260	2134	6044
261	2140	6030
262	2148	6020
263	2158	6018
264	2166	6009
265	2174	6000
266	2181	5988
267	2188	5977
268	2197	5970
269	2206	5965
270	2214	5956
271	2222	5948
272	2231	5943
273	2238	5932
274	2246	5921
275	2253	5912
276	2263	5907
277	2272	5900
278	2283	5899
279	2291	5892
280	2298	5881
281	2304	5868
282	2312	5858
283	2321	5851
284	2328	5842
285	2335	5831
286	2342	5820
287	2353	5819
288	2360	5808
289	2370	5802
290	2375	5788
291	2382	5776
292	2391	5770
293	2397	5756
294	2407	5753
295	2414	5742
296	2424	5737
297	2431	5728
298	2439	5720
299	2446	5709
300	2452	5695
301	2459	5685
302	2468	5677
303	2477	5672
304	2484	5660
305	2492	5651
306	2500	5644
307	2508	5636
308	2516	5627
309	2526	5623
310	2537	5620
311	2547	5617
312	2555	5608
313	2561	5596
314	2568	5585
315	2575	5575
316	2582	5564
317	2590	5556
318	2595	5541
319	2601	5527
320	2611	5524
321	2617	5512
322	2624	5499
323	2629	5486
324	2636	5475
325	2642	5463
326	2649	5452
327	2655	5441
328	2665	5435
329	2674	5430
330	2682	5422
331	2692	5416
332	2701	5411
333	2709	5403
334	2717	5394
335	2726	5387
336	2735	5380
337	2743	5372
338	2750	5363
339	2759	5357
340	2772	5357
341	2781	5352
342	2790	5345
343	2799	5337
344	2808	5332
345	2818	5326
346	2828	5322
347	2836	5315
348	2844	5306
349	2851	5295
350	2859	5286
351	2866	5277
352	2873	5266
353	2881	5259
354	2888	5248
355	2895	5238
356	2903	5229
357	2911	5221
358	2919	5213
359	2929	5207
360	2938	5200
361	2947	5194
362	2954	5184
363	2963	5177
364	2972	5170
365	2981	5164
366	2991	5159
367	2998	5150
368	3007	5142
369	3015	5134
370	3023	5125
371	3031	5117
372	3039	5109
373	3047	5100
374	3055	5092
375	3061	5081
376	3070	5073
377	3080	5068
378	3088	5060
379	3095	5050
380	3103	5041
381	3111	5033
382	3118	5023
383	3125	5013
384	3132	5004
385	3140	4996
386	3147	4986
387	3153	4974
388	3161	4965
389	3168	4956
390	3175	4945
391	3182	4936
392	3193	4932
393	3203	4926
394	3209	4915
395	3216	4905
396	3223	4896
397	3230	4885
398	3238	4877
399	3247	4871
400	3255	4863
401	3263	4855
402	3272	4847
403	3278	4836
404	3287	4830
405	3296	4822
406	3304	4815
407	3314	4808
408	3323	4802
409	3333	4796
410	3341	4788
411	3350	4781
412	3358	4773
413	3368	4767
414	3384	4771
415	3391	4760
416	3399	4752
417	3408	4745
418	3416	4737
419	3424	4728
420	3436	4725
421	3447	4722
422	3456	4714
423	3466	4709
424	3477	4704
425	3485	4696
426	3494	4689
427	3501	4679
428	3509	4670
429	3516	4661
430	3523	4651
431	3531	4642
432	3540	4635
433	3549	4628
434	3557	4620
435	3562	4608
436	3570	4599
437	3577	4590
438	3585	4582
439	3595	4575
440	3603	4567
441	3613	4562
442	3621	4553
443	3627	4542
444	3634	4533
445	3643	4525
446	3650	4516
447	3658	4507
