Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Nutrition_Score,Nutrition_Label,Protein_to_Energy,Sugar_to_Carbs,Fat_to_Energy
Butternaan,300.0,50.0,7.0,10.0,2.0,2.0,15.0,50.0,0,Healthy,0.023333333333255556,0.0399999999992,0.03333333333322222
Cupcake,200.0,30.0,2.0,8.0,20.0,0.5,20.0,20.0,7,Moderate,0.00999999999995,0.6666666666444444,0.0399999999998
Donuts,250.0,30.0,3.0,12.0,10.0,1.0,20.0,20.0,6,Moderate,0.011999999999952,0.3333333333222222,0.047999999999808
French Fries,312.0,41.0,3.4,15.0,0.3,3.8,0.0,20.0,1,Healthy,0.01089743589740097,0.007317073170553243,0.04807692307676899
Garlic Bread,200.0,25.0,4.0,10.0,1.0,1.0,10.0,30.0,2,Healthy,0.0199999999999,0.0399999999984,0.04999999999975
Grilled Cheese Sandwich,400.0,30.0,12.0,25.0,2.0,2.0,50.0,200.0,10,Moderate,0.029999999999925,0.06666666666444444,0.06249999999984375
Hot Dog,290.0,24.0,10.0,18.0,4.0,1.0,30.0,20.0,2,Healthy,0.03448275862057075,0.1666666666597222,0.06206896551702735
Ice Cream,207.0,24.0,3.5,11.0,21.0,0.5,44.0,100.0,7,Moderate,0.01690821256030479,0.8749999999635417,0.05314009661810078
Lobster Roll Sandwich,450.0,30.0,20.0,25.0,3.0,2.0,80.0,60.0,11,Unhealthy,0.04444444444434568,0.09999999999666667,0.0555555555554321
Onion Rings,275.0,31.0,3.0,15.0,5.0,2.0,0.0,30.0,5,Moderate,0.01090909090905124,0.16129032257544224,0.0545454545452562
Red Velvet Cake,293.0,37.45,5.45,13.74,13.89,1.2,43.0,85.0,6,Moderate,0.018600682593793175,0.37089452602480927,0.04689419795205838
Strawberry Shortcake,250.0,35.0,3.0,12.0,15.0,1.0,30.0,50.0,7,Moderate,0.011999999999952,0.42857142855918373,0.047999999999808
Vada Pav,304.0,40.17,9.17,11.92,9.42,3.8,0.0,71.0,-1,Healthy,0.030164473684111303,0.2345033607111152,0.03921052631566049
Waffles,220.0,20.0,13.0,11.0,5.0,3.0,30.0,100.0,-2,Healthy,0.0590909090906405,0.2499999999875,0.049999999999772726
Hot tea (Garam Chai),16.14,2.58,0.39,0.53,2.58,0.0,0.0,14.2,0,Healthy,0.024163568771737077,0.999999999612403,0.032837670382104236
Instant coffee,23.16,3.65,0.64,0.75,3.62,0.0,0.0,20.87,0,Healthy,0.027633851466855187,0.9917808216460875,0.032383419687720925
Espreso coffee,51.54,6.62,1.75,2.14,6.53,0.0,0.0,58.1,0,Healthy,0.033954210321421145,0.9864048336878543,0.04152114862162358
Iced tea,10.34,2.7,0.03,0.01,2.7,0.0,0.0,1.18,0,Healthy,0.002901353964903157,0.9999999996296296,0.0009671179883010524
Raw mango drink (Aam panna),35.92,9.05,0.16,0.03,7.49,0.61,0.0,7.08,1,Healthy,0.004454342984285793,0.827624309300815,0.0008351893095535861
Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03,9.25,0.06,0.0,5.07,2,Healthy,0.003875968992140755,0.9861407248415627,0.0008305647840301616
Fruit Punch (with squashes),23.13,5.99,0.07,0.02,5.88,0.17,0.0,3.3,1,Healthy,0.0030263726760472822,0.9816360599362878,0.0008646779074420806
Lemonade,20.8,5.48,0.03,0.01,5.47,0.02,0.0,1.84,1,Healthy,0.0014423076922383505,0.9981751822996029,0.00048076923074611685
Lem-o-gin,21.52,5.55,0.08,0.03,5.38,0.13,0.0,2.2,1,Healthy,0.003717472118786363,0.9693693691947082,0.001394052044544886
Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11,1.46,0.46,0.0,10.84,0,Healthy,0.01870187018496129,0.7849462361371256,0.012101210119680836
Coco pine cooler,32.75,5.72,0.56,1.0,5.52,0.26,3.4,17.81,1,Healthy,0.017099236640699265,0.9650349648662526,0.030534351144105826
Summer cooler,22.43,5.43,0.37,0.04,5.21,0.2,0.0,8.13,1,Healthy,0.016495764600245395,0.9594843460479772,0.001783325902729232
