Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Nutrition_Score,Nutrition_Label
Butternaan,300.0,50.0,7.0,10.0,2.0,2.0,15.0,50.0,0,Healthy
Cupcake,200.0,30.0,2.0,8.0,20.0,0.5,20.0,20.0,7,Moderate
Donuts,250.0,30.0,3.0,12.0,10.0,1.0,20.0,20.0,6,Moderate
French Fries,312.0,41.0,3.4,15.0,0.3,3.8,0.0,20.0,1,Healthy
Garlic Bread,200.0,25.0,4.0,10.0,1.0,1.0,10.0,30.0,2,Healthy
Grilled Cheese Sandwich,400.0,30.0,12.0,25.0,2.0,2.0,50.0,200.0,10,Moderate
Hot Dog,290.0,24.0,10.0,18.0,4.0,1.0,30.0,20.0,2,Healthy
Ice Cream,207.0,24.0,3.5,11.0,21.0,0.5,44.0,100.0,7,Moderate
Lobster Roll Sandwich,450.0,30.0,20.0,25.0,3.0,2.0,80.0,60.0,11,Unhealthy
Onion Rings,275.0,31.0,3.0,15.0,5.0,2.0,0.0,30.0,5,Moderate
Red Velvet Cake,293.0,37.45,5.45,13.74,13.89,1.2,43.0,85.0,6,Moderate
Strawberry Shortcake,250.0,35.0,3.0,12.0,15.0,1.0,30.0,50.0,7,Moderate
Vada Pav,304.0,40.17,9.17,11.92,9.42,3.8,0.0,71.0,-1,Healthy
Waffles,220.0,20.0,13.0,11.0,5.0,3.0,30.0,100.0,-2,Healthy
Hot tea (Garam Chai),16.14,2.58,0.39,0.53,2.58,0.0,0.0,14.2,0,Healthy
Instant coffee,23.16,3.65,0.64,0.75,3.62,0.0,0.0,20.87,0,Healthy
Espreso coffee,51.54,6.62,1.75,2.14,6.53,0.0,0.0,58.1,0,Healthy
Iced tea,10.34,2.7,0.03,0.01,2.7,0.0,0.0,1.18,0,Healthy
Raw mango drink (Aam panna),35.92,9.05,0.16,0.03,7.49,0.61,0.0,7.08,1,Healthy
Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03,9.25,0.06,0.0,5.07,2,Healthy
Fruit Punch (with squashes),23.13,5.99,0.07,0.02,5.88,0.17,0.0,3.3,1,Healthy
Lemonade,20.8,5.48,0.03,0.01,5.47,0.02,0.0,1.84,1,Healthy
Lem-o-gin,21.52,5.55,0.08,0.03,5.38,0.13,0.0,2.2,1,Healthy
Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11,1.46,0.46,0.0,10.84,0,Healthy
Coco pine cooler,32.75,5.72,0.56,1.0,5.52,0.26,3.4,17.81,1,Healthy
Summer cooler,22.43,5.43,0.37,0.04,5.21,0.2,0.0,8.13,1,Healthy
Hot cocoa,90.1,9.23,3.36,4.56,9.01,0.0,0.0,113.66,2,Healthy
Cold coffee with ice cream,67.85,11.24,1.57,2.11,11.18,0.01,1.17,53.29,2,Healthy
Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37,7.96,0.26,0.0,62.64,0,Healthy
Mango milkshake (Aam milkshake),56.9,7.23,1.73,2.35,7.15,0.26,0.0,62.33,0,Healthy
Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23,7.6,0.0,0.0,59.92,0,Healthy
Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52,7.08,0.0,0.0,67.42,0,Healthy
Egg nog,97.14,8.15,4.78,5.11,8.06,0.02,60.3,102.13,1,Healthy
Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68,6.51,0.0,2.49,45.65,1,Healthy
Lassi (salted),18.84,1.86,1.35,0.72,1.84,0.02,2.6,47.78,0,Healthy
Cheese and chilli sandwich ,218.11,27.4,6.8,9.78,2.38,2.08,23.05,113.79,-1,Healthy
Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.8,1.86,1.88,121.63,110.13,2,Healthy
Cucumber sandwich (Kheere ka sandwich),188.6,25.77,4.8,8.0,1.64,2.45,17.53,87.84,0,Healthy
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,29.1,8.2,12.8,4.1,2.33,34.35,199.73,0,Healthy
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27,2.85,1.97,32.88,191.2,1,Healthy
Chicken sandwich,253.27,25.38,13.12,11.75,1.6,1.64,42.06,89.56,0,Healthy
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14,2.82,4.03,17.53,94.03,-1,Healthy
Rainbow sandwich,272.75,34.26,7.75,12.54,4.05,2.1,31.16,172.04,1,Healthy
Club sandwich ,235.32,18.51,7.31,15.12,2.01,1.81,31.26,115.68,2,Healthy
Vegetarian club sandwich,198.33,19.68,5.45,11.33,2.08,2.06,23.13,122.44,0,Healthy
Pin wheel sandwich,311.52,14.0,8.77,24.93,1.45,0.93,179.52,67.75,10,Moderate
Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,29.04,5.3,9.12,5.3,3.66,21.05,118.05,0,Healthy
Salami sandwich,255.59,21.54,8.7,15.51,2.0,1.97,33.35,73.54,1,Healthy
Vegetable and mayonnaise sandwich,244.26,23.2,4.47,15.4,2.35,2.35,21.87,79.53,4,Moderate
Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,25.9,7.66,10.51,2.09,1.77,95.63,95.71,0,Healthy
Sweet open sandwich,244.25,39.24,4.99,8.15,12.23,2.36,18.05,85.18,2,Healthy
Mushroom and cheese sandwich (toasted),227.42,21.01,7.79,13.01,2.11,2.28,35.12,172.35,0,Healthy
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,21.42,6.82,12.95,2.67,1.78,35.12,169.22,1,Healthy
Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.9,25.17,4.6,5.43,1.33,2.89,0.0,64.15,-2,Healthy
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.56,24.05,12.4,11.98,6.4,2.12,0.0,274.1,0,Healthy
Chicken sandwich (toasted),167.37,18.82,12.08,5.32,2.13,1.64,26.57,99.99,-3,Healthy
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,20.26,11.06,5.61,1.94,2.45,27.29,70.79,-4,Healthy
Classic club sandwich,200.83,18.49,6.74,11.56,1.86,1.62,62.87,107.73,0,Healthy
Sesame toast,495.19,11.15,1.9,49.38,1.46,1.32,0.0,43.44,15,Unhealthy
Cracked wheat porridge (Meetha daliya),81.57,8.87,2.64,4.08,5.12,0.62,0.0,75.88,2,Healthy
Semolina porridge (Suji/Rava daliya),100.89,12.39,3.75,4.08,7.54,0.7,0.0,108.52,1,Healthy
Oatmeal Porridge,72.85,8.77,2.6,3.22,5.2,0.39,0.02,76.83,1,Healthy
Cornflakes with milk,117.33,14.95,3.59,5.12,9.97,0.78,0.0,106.47,2,Healthy
Rice flakes (Chiwda/Aval),112.44,15.57,3.62,3.99,7.28,0.37,0.0,103.15,1,Healthy
