iter	Passed	Remaining
0	3	3956
1	7	3519
2	10	3418
3	14	3503
4	18	3686
5	21	3591
6	24	3538
7	28	3551
8	32	3565
9	35	3560
10	39	3539
11	42	3537
12	46	3525
13	51	3592
14	54	3574
15	57	3555
16	61	3553
17	67	3660
18	71	3681
19	74	3672
20	78	3676
21	83	3733
22	87	3712
23	91	3701
24	95	3738
25	99	3730
26	102	3710
27	106	3690
28	110	3714
29	114	3708
30	119	3738
31	123	3743
32	127	3747
33	131	3737
34	135	3725
35	139	3725
36	144	3770
37	149	3788
38	153	3775
39	156	3765
40	161	3771
41	164	3755
42	168	3744
43	171	3735
44	175	3721
45	178	3708
46	182	3692
47	186	3692
48	190	3691
49	194	3689
50	198	3685
51	202	3684
52	207	3698
53	211	3699
54	216	3725
55	221	3739
56	226	3747
57	229	3734
58	233	3729
59	237	3718
60	241	3724
61	245	3721
62	249	3712
63	255	3729
64	259	3737
65	265	3750
66	270	3760
67	275	3780
68	280	3788
69	285	3794
70	290	3803
71	295	3806
72	298	3794
73	302	3781
74	307	3790
75	311	3783
76	315	3777
77	318	3764
78	324	3788
79	330	3798
80	334	3795
81	341	3825
82	346	3826
83	350	3817
84	354	3812
85	358	3810
86	362	3805
87	365	3787
88	368	3770
89	373	3774
90	376	3758
91	379	3740
92	381	3723
93	384	3707
94	389	3708
95	392	3693
96	395	3678
97	398	3666
98	404	3684
99	408	3680
100	420	3742
101	427	3767
102	437	3809
103	443	3824
104	451	3849
105	457	3858
106	462	3860
107	466	3849
108	470	3844
109	475	3845
110	481	3857
111	486	3858
112	489	3844
113	493	3833
114	496	3819
115	500	3812
116	503	3801
117	506	3786
118	511	3787
119	516	3791
120	520	3781
121	523	3768
122	526	3755
123	529	3740
124	533	3735
125	536	3721
126	539	3707
127	542	3693
128	545	3682
129	549	3677
130	553	3672
131	556	3659
132	559	3647
133	562	3634
134	566	3628
135	569	3618
136	572	3606
137	575	3594
138	578	3586
139	583	3581
140	586	3572
141	589	3561
142	592	3551
143	596	3543
144	599	3537
145	603	3528
146	606	3520
147	609	3510
148	614	3510
149	617	3499
150	620	3487
151	623	3476
152	626	3465
153	630	3462
154	633	3455
155	636	3444
156	639	3434
157	642	3424
158	647	3427
159	651	3418
160	653	3407
161	656	3397
162	660	3393
163	664	3386
164	667	3377
165	670	3368
166	673	3359
167	677	3357
168	681	3350
169	684	3343
170	687	3334
171	691	3326
172	695	3325
173	698	3317
174	702	3309
175	705	3300
176	708	3293
177	712	3291
178	715	3283
179	718	3275
180	721	3266
181	726	3265
182	729	3257
183	732	3248
184	735	3239
185	738	3230
186	742	3229
187	744	3214
188	747	3206
189	750	3201
190	754	3193
191	759	3195
192	762	3189
193	766	3183
194	769	3175
195	772	3169
196	776	3164
197	779	3157
198	782	3148
199	785	3141
200	788	3134
201	792	3131
202	795	3123
203	798	3115
204	801	3108
205	805	3105
206	808	3098
207	811	3091
208	814	3084
209	818	3077
210	822	3074
211	825	3068
212	828	3061
213	831	3055
214	834	3048
215	839	3048
216	842	3041
217	846	3034
218	848	3027
219	851	3019
220	856	3018
221	859	3011
222	862	3004
223	865	2998
224	869	2993
225	872	2989
226	875	2982
227	878	2974
228	881	2967
229	884	2960
230	888	2957
231	891	2950
232	894	2943
233	897	2936
234	900	2929
235	904	2927
236	907	2922
237	910	2915
238	913	2910
239	918	2907
240	921	2903
241	924	2896
242	928	2891
243	931	2884
244	935	2882
245	938	2876
246	941	2870
247	944	2864
248	947	2858
249	952	2857
250	955	2850
251	958	2844
252	961	2837
253	963	2831
254	968	2829
255	971	2824
256	974	2818
257	977	2812
258	981	2807
259	985	2805
260	988	2799
261	991	2793
262	994	2787
263	998	2784
264	1001	2778
265	1004	2772
266	1007	2766
267	1010	2760
268	1014	2757
269	1018	2752
270	1020	2746
271	1023	2740
272	1026	2733
273	1030	2730
274	1033	2725
275	1036	2718
276	1039	2712
277	1041	2705
278	1044	2699
279	1048	2695
280	1051	2689
281	1054	2683
282	1056	2677
283	1059	2671
284	1063	2667
285	1066	2662
286	1069	2656
287	1072	2650
288	1074	2644
289	1078	2639
290	1081	2634
291	1083	2628
292	1086	2622
293	1089	2616
294	1092	2609
295	1095	2606
296	1098	2600
297	1101	2594
298	1104	2588
299	1107	2583
300	1110	2579
301	1113	2574
302	1116	2568
303	1119	2563
304	1122	2557
305	1125	2551
306	1128	2548
307	1131	2543
308	1134	2537
309	1137	2531
310	1140	2526
311	1143	2522
312	1146	2516
313	1149	2511
314	1152	2505
315	1155	2500
316	1157	2494
317	1161	2490
318	1164	2485
319	1167	2480
320	1169	2474
321	1172	2469
322	1176	2466
323	1179	2461
324	1182	2456
325	1185	2450
326	1188	2446
327	1193	2445
328	1196	2440
329	1199	2435
330	1202	2431
331	1207	2428
332	1211	2427
333	1216	2426
334	1220	2423
335	1224	2420
336	1228	2417
337	1232	2413
338	1236	2410
339	1240	2408
340	1244	2404
341	1247	2399
342	1251	2396
343	1255	2395
344	1260	2393
345	1263	2388
346	1268	2387
347	1273	2385
348	1277	2382
349	1280	2378
350	1284	2375
351	1288	2371
352	1291	2367
353	1295	2364
354	1298	2359
355	1301	2355
356	1306	2352
357	1311	2351
358	1317	2352
359	1321	2349
360	1324	2344
361	1327	2339
362	1330	2335
363	1333	2329
364	1337	2326
365	1341	2324
366	1346	2323
367	1351	2321
368	1356	2320
369	1362	2319
370	1366	2316
371	1371	2315
372	1375	2311
373	1378	2307
374	1382	2304
375	1387	2303
376	1393	2302
377	1397	2298
378	1401	2295
379	1406	2294
380	1409	2290
381	1412	2284
382	1415	2280
383	1420	2278
384	1423	2273
385	1426	2268
386	1429	2264
387	1434	2262
388	1439	2260
389	1442	2256
390	1445	2251
391	1451	2251
392	1456	2248
393	1460	2246
394	1465	2244
395	1470	2243
396	1474	2238
397	1476	2234
398	1479	2228
399	1483	2225
400	1486	2220
401	1489	2215
402	1492	2211
403	1496	2207
404	1500	2204
405	1503	2200
406	1506	2195
407	1509	2190
408	1512	2184
409	1516	2181
410	1518	2176
411	1521	2171
412	1524	2166
413	1527	2161
414	1530	2157
415	1533	2153
416	1536	2148
417	1539	2143
418	1542	2138
419	1544	2133
420	1548	2129
421	1551	2124
422	1553	2119
423	1556	2114
424	1559	2109
425	1563	2106
426	1566	2101
427	1569	2097
428	1572	2093
429	1575	2088
430	1579	2084
431	1582	2080
432	1585	2075
433	1587	2070
434	1591	2066
435	1592	2060
436	1596	2056
437	1599	2052
438	1602	2047
439	1606	2044
440	1608	2039
441	1613	2036
442	1616	2032
443	1619	2028
444	1622	2023
445	1626	2020
446	1629	2016
447	1632	2011
448	1635	2007
449	1638	2002
450	1641	1998
451	1645	1994
452	1648	1990
453	1651	1986
454	1654	1982
455	1657	1977
456	1661	1974
457	1664	1969
458	1666	1964
459	1669	1960
460	1673	1956
461	1677	1953
462	1680	1949
463	1683	1944
464	1687	1941
465	1690	1937
466	1695	1934
467	1698	1930
468	1701	1926
469	1704	1921
470	1709	1919
471	1712	1915
472	1715	1911
473	1718	1906
474	1721	1902
475	1725	1899
476	1728	1895
477	1731	1890
478	1734	1886
479	1737	1882
480	1741	1878
481	1744	1874
482	1747	1870
483	1749	1865
484	1752	1861
485	1756	1858
486	1759	1853
487	1762	1848
488	1764	1844
489	1767	1839
490	1770	1835
491	1774	1831
492	1776	1827
493	1779	1822
494	1782	1818
495	1785	1814
496	1789	1810
497	1792	1806
498	1795	1802
499	1797	1797
500	1800	1793
501	1803	1789
502	1806	1784
503	1809	1780
504	1812	1776
505	1815	1772
506	1818	1767
507	1822	1764
508	1825	1761
509	1828	1756
510	1831	1752
511	1834	1748
512	1838	1744
513	1840	1740
514	1843	1736
515	1846	1731
516	1849	1727
517	1852	1723
518	1855	1719
519	1858	1715
520	1861	1711
521	1863	1706
522	1866	1702
523	1871	1699
524	1873	1695
525	1876	1691
526	1879	1686
527	1882	1682
528	1886	1679
529	1888	1675
530	1891	1670
531	1894	1666
532	1897	1662
533	1900	1658
534	1903	1654
535	1906	1650
536	1909	1646
537	1911	1641
538	1914	1637
539	1918	1634
540	1921	1629
541	1923	1625
542	1926	1621
543	1929	1617
544	1933	1614
545	1936	1609
546	1939	1606
547	1942	1602
548	1945	1598
549	1949	1594
550	1952	1591
551	1955	1587
552	1958	1582
553	1960	1578
554	1964	1575
555	1967	1571
556	1970	1567
557	1973	1563
558	1976	1559
559	1979	1555
560	1983	1552
561	1986	1548
562	1989	1543
563	1991	1539
564	1995	1536
565	1999	1532
566	2001	1528
